pb_1,pb_2,pb_3,v_1,v_2,v_3
0.28743,0.014947,0.25171,3.2647,-0.114,4.1533
0.29072,0.014824,0.25586,3.3141,-0.13195,4.1409
0.29406,0.014687,0.25999,3.3663,-0.14204,4.1254
0.29745,0.014544,0.26411,3.4193,-0.14403,4.1083
0.3009,0.014403,0.26821,3.4709,-0.13808,4.0914
0.30439,0.014271,0.27229,3.5191,-0.12475,4.0762
0.30794,0.014156,0.27636,3.5622,-0.10499,4.0643
0.31152,0.014064,0.28042,3.5985,-0.080038,4.0569
0.31513,0.013998,0.28448,3.6269,-0.051399,4.0549
0.31877,0.013962,0.28854,3.6465,-0.020722,4.059
0.32242,0.013957,0.2926,3.6571,0.010262,4.0694
0.32607,0.013982,0.29668,3.6586,0.039842,4.086
0.32973,0.014035,0.30078,3.6517,0.066408,4.1085
0.33337,0.014112,0.3049,3.6371,0.088539,4.1361
0.337,0.014209,0.30905,3.6162,0.10507,4.1678
0.3406,0.014319,0.31324,3.5904,0.11513,4.2023
0.34418,0.014436,0.31746,3.5616,0.11822,4.2382
0.34773,0.014552,0.32171,3.5316,0.11419,4.274
0.35124,0.014661,0.326,3.502,0.10327,4.3084
0.35473,0.014756,0.33033,3.4748,0.086045,4.3399
0.3582,0.01483,0.33468,3.4515,0.063396,4.3672
0.36164,0.01488,0.33906,3.4332,0.03648,4.3894
0.36506,0.014902,0.34346,3.4212,0.0066477,4.4056
0.36848,0.014893,0.34787,3.4158,-0.024622,4.4153
0.3719,0.014853,0.35228,3.4175,-0.055805,4.4184
0.37532,0.014782,0.3567,3.426,-0.085408,4.415
0.37876,0.014683,0.36111,3.4408,-0.11205,4.4056
0.38221,0.01456,0.36551,3.4611,-0.13452,4.3908
0.38568,0.014417,0.36989,3.4856,-0.15184,4.3716
0.38918,0.014259,0.37425,3.5129,-0.16334,4.3491
0.39271,0.014093,0.37859,3.5416,-0.16862,4.3247
0.39626,0.013925,0.3829,3.5701,-0.16764,4.2994
0.39985,0.013761,0.38719,3.5966,-0.16067,4.2748
0.40345,0.013606,0.39145,3.6198,-0.14828,4.2519
0.40708,0.013467,0.39569,3.6383,-0.13131,4.2318
0.41073,0.013346,0.39992,3.6511,-0.11081,4.2153
0.41438,0.013246,0.40413,3.6572,-0.088008,4.2032
0.41804,0.01317,0.40832,3.6564,-0.064216,4.1958
0.42169,0.013118,0.41252,3.6483,-0.040772,4.1932
0.42533,0.013088,0.41671,3.6334,-0.018974,4.1951
0.42895,0.013078,0.42091,3.612,-9.4409e-06,4.2012
0.43255,0.013086,0.42512,3.585,0.015104,4.2108
0.43612,0.013106,0.42933,3.5536,0.025564,4.223
0.43966,0.013134,0.43356,3.5189,0.030824,4.2368
0.44316,0.013165,0.43781,3.4824,0.030616,4.2511
0.44662,0.013193,0.44207,3.4454,0.024959,4.2647
0.45005,0.013212,0.44634,3.4094,0.014151,4.2766
0.45344,0.013219,0.45062,3.3756,-0.0012497,4.2856
0.4568,0.013208,0.45491,3.3453,-0.020457,4.291
0.46014,0.013176,0.4592,3.3191,-0.042503,4.292
0.46344,0.013122,0.46349,3.2979,-0.066292,4.288
0.46673,0.013044,0.46777,3.282,-0.090657,4.2788
0.47001,0.012941,0.47204,3.2714,-0.11442,4.2645
0.47328,0.012816,0.4763,3.2658,-0.13647,4.2451
0.47654,0.012669,0.48053,3.2648,-0.15577,4.2212
0.47981,0.012506,0.48474,3.2675,-0.17148,4.1933
0.48308,0.012329,0.48892,3.273,-0.18293,4.1624
0.48636,0.012142,0.49306,3.2801,-0.18971,4.1292
0.48964,0.011952,0.49717,3.2876,-0.19162,4.0948
0.49293,0.011762,0.50125,3.2944,-0.18874,4.0602
0.49623,0.011576,0.50529,3.299,-0.18139,4.0264
0.49953,0.011401,0.5093,3.3006,-0.1701,3.9943
0.50283,0.011238,0.51328,3.298,-0.1556,3.9645
0.50612,0.011091,0.51724,3.2907,-0.13878,3.9378
0.50941,0.010961,0.52116,3.278,-0.12062,3.9145
0.51268,0.01085,0.52507,3.2598,-0.10214,3.8948
0.51592,0.010756,0.52895,3.236,-0.084376,3.8787
0.51914,0.01068,0.53283,3.2069,-0.0683,3.866
0.52233,0.010618,0.53669,3.1732,-0.054777,3.8561
0.52549,0.010569,0.54054,3.1354,-0.044522,3.8487
0.5286,0.010528,0.54438,3.0946,-0.03807,3.8428
0.53168,0.010491,0.54822,3.0516,-0.035751,3.8378
0.53471,0.010454,0.55206,3.0077,-0.037672,3.8327
0.53769,0.010413,0.55589,2.964,-0.043722,3.8266
0.54064,0.010365,0.55971,2.9214,-0.053576,3.8188
0.54354,0.010304,0.56353,2.8809,-0.06672,3.8084
0.5464,0.01023,0.56733,2.8433,-0.082481,3.7948
0.54922,0.010139,0.57111,2.8093,-0.10006,3.7776
0.55202,0.010029,0.57488,2.7792,-0.11858,3.7564
0.55479,0.0099014,0.57862,2.7532,-0.13712,3.7312
0.55753,0.0097554,0.58234,2.7313,-0.1548,3.7019
0.56025,0.0095926,0.58603,2.7131,-0.17077,3.6689
0.56296,0.0094151,0.58968,2.6981,-0.18431,3.6325
0.56565,0.0092255,0.59329,2.6858,-0.1948,3.5933
0.56833,0.0090272,0.59686,2.6751,-0.20183,3.552
0.571,0.0088237,0.60039,2.6654,-0.20514,3.5093
0.57366,0.0086188,0.60388,2.6555,-0.20468,3.466
0.57631,0.0084162,0.60733,2.6446,-0.20059,3.4228
0.57895,0.0082193,0.61073,2.6317,-0.1932,3.3806
0.58157,0.0080312,0.61409,2.616,-0.183,3.3399
0.58418,0.0078544,0.61741,2.5969,-0.1706,3.3013
0.58676,0.0076907,0.62069,2.5739,-0.15672,3.2651
0.58932,0.0075413,0.62394,2.5467,-0.14215,3.2317
0.59185,0.0074064,0.62716,2.5153,-0.12768,3.2011
0.59435,0.0072855,0.63034,2.4796,-0.11411,3.1732
0.59681,0.0071773,0.6335,2.44,-0.10214,3.1478
0.59923,0.0070801,0.63664,2.397,-0.092402,3.1244
0.6016,0.0069912,0.63975,2.3513,-0.085387,3.1026
0.60393,0.0069078,0.64285,2.3035,-0.081439,3.0819
0.60621,0.0068267,0.64592,2.2546,-0.080737,3.0614
0.60844,0.0067447,0.64897,2.2053,-0.083289,3.0406
0.61062,0.0066586,0.652,2.1565,-0.088933,3.0188
0.61275,0.0065654,0.655,2.109,-0.097352,2.9954
0.61484,0.0064627,0.65799,2.0635,-0.10809,2.9698
0.61688,0.0063484,0.66094,2.0205,-0.12057,2.9415
0.61888,0.006221,0.66387,1.9805,-0.13416,2.9104
0.62084,0.0060798,0.66676,1.9436,-0.14815,2.8761
0.62277,0.0059248,0.66962,1.9099,-0.16185,2.8388
0.62467,0.0057566,0.67244,1.8794,-0.17456,2.7984
0.62653,0.0055765,0.67522,1.8516,-0.18569,2.7553
