0.187,0.13502,10,0.05
0.188,0.13269,10,0.05
0.189,0.13034,10,0.05
0.19,0.12797,10,0.05
0.191,0.12559,10,0.05
0.192,0.12319,10,0.05
0.193,0.1208,10,0.05
0.194,0.1184,10,0.05
0.195,0.116,10,0.05
0.196,0.11361,10,0.05
0.197,0.11123,10,0.05
0.198,0.10885,10,0.05
0.199,0.10648,10,0.05
0.2,0.10412,10,0.05
0.201,0.10176,10,0.05
0.202,0.099408,10,0.05
0.203,0.097054,10,0.05
0.204,0.094698,10,0.05
0.205,0.092336,10,0.05
0.206,0.089967,10,0.05
0.207,0.087587,10,0.05
0.208,0.085194,10,0.05
0.209,0.082785,10,0.05
0.21,0.080361,10,0.05
0.211,0.07792,10,0.05
0.212,0.075462,10,0.05
0.213,0.072988,10,0.05
0.214,0.0705,10,0.05
0.215,0.068,10,0.05
0.216,0.06549,10,0.05
0.217,0.062973,10,0.05
0.218,0.060453,10,0.05
0.219,0.057933,10,0.05
0.22,0.055416,10,0.05
0.221,0.052905,10,0.05
0.222,0.050403,10,0.05
0.223,0.047912,10,0.05
0.224,0.045434,10,0.05
0.225,0.042969,10,0.05
0.226,0.040519,10,0.05
0.227,0.038083,10,0.05
0.228,0.03566,10,0.05
0.229,0.033249,10,0.05
0.23,0.030848,10,0.05
0.231,0.028456,10,0.05
0.232,0.02607,10,0.05
0.233,0.023687,10,0.05
0.234,0.021307,10,0.05
0.235,0.018926,10,0.05
0.236,0.016543,10,0.05
0.237,0.014158,10,0.05
0.238,0.011769,10,0.05
0.239,0.009377,10,0.05
0.24,0.006982,10,0.05
0.241,0.004585,10,0.05
0.242,0.002187,10,0.05
0.243,-0.00021,10,0.05
0.244,-0.002602,10,0.05
0.245,-0.004989,10,0.05
0.246,-0.007367,10,0.05
0.247,-0.009734,10,0.05
0.248,-0.012087,10,0.05
0.249,-0.014424,10,0.05
0.25,-0.016743,10,0.05
0.251,-0.019042,10,0.05
0.252,-0.021321,10,0.05
0.253,-0.023579,10,0.05
0.254,-0.025816,10,0.05
0.255,-0.028032,10,0.05
0.256,-0.030228,10,0.05
0.257,-0.032405,10,0.05
0.258,-0.034564,10,0.05
0.259,-0.036708,10,0.05
0.26,-0.038837,10,0.05
0.261,-0.040954,10,0.05
0.262,-0.04306,10,0.05
0.263,-0.045156,10,0.05
0.264,-0.047243,10,0.05
0.265,-0.049323,10,0.05
0.266,-0.051394,10,0.05
0.267,-0.053457,10,0.05
0.268,-0.055512,10,0.05
0.269,-0.057557,10,0.05
0.27,-0.059591,10,0.05
0.271,-0.061612,10,0.05
0.272,-0.063618,10,0.05
0.273,-0.065608,10,0.05
0.274,-0.06758,10,0.05
0.275,-0.069531,10,0.05
0.276,-0.071459,10,0.05
0.277,-0.073364,10,0.05
0.278,-0.075243,10,0.05
0.279,-0.077097,10,0.05
0.28,-0.078923,10,0.05
0.281,-0.080722,10,0.05
0.282,-0.082494,10,0.05
0.283,-0.08424,10,0.05
0.284,-0.08596,10,0.05
0.285,-0.087655,10,0.05
0.286,-0.089327,10,0.05
0.287,-0.090977,10,0.05
0.288,-0.092605,10,0.05
0.289,-0.094214,10,0.05
0.29,-0.095805,10,0.05
0.291,-0.097378,10,0.05
0.292,-0.098934,10,0.05
0.293,-0.10047,10,0.05
0.294,-0.102,10,0.05
0.295,-0.1035,10,0.05
0.296,-0.10499,10,0.05
0.297,-0.10646,10,0.05
0.298,-0.10791,10,0.05
